관리번호,제목,소관부서,시행일,시행여부,첨부파일명,첨부파일링크,담당부서,담당팀,담당자,자료문의,상세본문내용
감2024-31004,증권사 최선집행의무 가이드라인,자본시장감독국,20240620,시행중,증권사 최선집행의무 가이드라인_F.hwp | 증권사 최선집행의무 가이드라인_F.pdf,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2130277_20240620150639201_1.hwp&filere=%EC%A6%9D%EA%B6%8C%EC%82%AC+%EC%B5%9C%EC%84%A0%EC%A7%91%ED%96%89%EC%9D%98%EB%AC%B4+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8_F.hwp | https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2130277_20240620150639177_0.pdf&filere=%EC%A6%9D%EA%B6%8C%EC%82%AC+%EC%B5%9C%EC%84%A0%EC%A7%91%ED%96%89%EC%9D%98%EB%AC%B4+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8_F.pdf,자본시장감독국,증권거래감독팀,이어진 선임조사역,02-3145-7607,"1. 관련근거 - 금융규제 운영규정 제16조

2. 자본시장법 제68조, 자본시장법 시행령 제66조의2, 자본시장법 시행규칙 제7조의3 및 금융투자업규정 제4-17조의3의 규정 등에 따른 최선집행의무와 관련한 가이드라인을 송부하니, 붙임을 참고하여 업무수행에 만전을 기하여 주시기 바랍니다. 

            - 아 래 -            

  - [관리번호] 감2024-31004 
  - [감독행정목적] 금융투자상품의 매매에 관한 투자자의 청약 또는 주문을 처리하는 경우 최선의 거래조건으로 집행하기 위하여 필요한 사항을 정한 가이드라인 제시
  - [감독행정내용] 붙임 참조 
  - [관련법령] 자본시장법 제68조, 자본시장법 시행령 제66조의2, 자본시장법 시행규칙 제7조의3 및 금융투자업규정 제4-17조의3의 규정 등 
  - [내부경영사항 관련] 해당 없음"
감2024-41003,백내장 수술 관련 실손보험금 지급심사 시 유의사항 안내,보험감독국,20240124,시행중,백내장 수술 관련 실손보험금 지급심사시 유의사항 안내_F.hwpx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170301_20240124173703955_0.hwpx&filere=%EB%B0%B1%EB%82%B4%EC%9E%A5+%EC%88%98%EC%88%A0+%EA%B4%80%EB%A0%A8+%EC%8B%A4%EC%86%90%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EC%8B%AC%EC%82%AC%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4_F.hwpx,보험감독국,보험상품제도팀,신진우 선임조사역,02-3145-7465,"1. 관련근거 - 「금융규제 운영규정」 제16조

             2.「보험업법」제127조의3(기초서류 기재사항 준수의무) 등에 따라 백내장 수술 관련 실손보험금 지급심사 업무 수행에 만전을 기하여 주시기 바랍니다.
 

            - 아 래 -            

  - [관리번호] 감2024-41003 
  - [감독행정목적] 백내장 수술 관련 실손보험금 지급심사 시 유의사항 안내
  - [감독행정내용] 붙임 참고
  - [관련법령]  보험업법 제127조의3
  - [내부경영사항 관련] 해당 없음"
감2024-41001,보험계약대출 표준모범규준 관련 유의사항 통보,보험감독국,20240118,시행중,감독행정_붙임_보험계약대출 표준모범규준 관련F.hwpx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2231828_20240118095806884_0.hwpx&filere=%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95_%EB%B6%99%EC%9E%84_%EB%B3%B4%ED%97%98%EA%B3%84%EC%95%BD%EB%8C%80%EC%B6%9C+%ED%91%9C%EC%A4%80%EB%AA%A8%EB%B2%94%EA%B7%9C%EC%A4%80+%EA%B4%80%EB%A0%A8F.hwpx,보험감독국,건전경영팀,이시백 선임조사역,02-3145-7462,"1. 관련근거 - 금융규제 운영규정 제16조

2. 보험업감독업무시행세칙 제3-11조의2(표준모범규준 반영사항) 및 [별표30]에 따르면, 보험계약대출 등의 금리산정과 관련하여 보험협회가 마련한 표준모범규준에 가산금리 항목별 세부적인 내용이 포함되도록 정하고 있습니다.

3. 그러나 표준모범규준이 가산금리 항목별로 세부적인 내용을 명확하게 규정하고 있지 않다보니, 보험회사가 가산금리 산정시 보험계약대출과의 관련도를 충분히 고려하지 않는 등 개선이 필요한 사항이 우리원 점검결과 확인되었습니다.

4. 이에 ‘붙임’을 참고하여 보험회사가 보험계약대출 가산금리 산정시 합리적 기준에 따라 산정될 수 있도록 표준모범규준 관리에 만전을 기하여 주시기 바랍니다. 


            - 아 래 -            

  - [관리번호] 감2024-41001 
  - [감독행정목적] 보험계약대출 표준모범규준 관련 유의사항 통보
  - [감독행정내용] 붙임 참조
  - [관련법령]  보험업감독업무시행세칙 제3-11조의2 및 [별표30]
  - [내부경영사항 관련] 해당 없음"
감2023-21006,은행지주·은행 자체정상화계획 작성지침,은행감독국,20231218,시행중,은행지주·은행 자체정상화계획 작성지침_감독행정.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2180351_20231211205250587_0.hwp&filere=%EC%9D%80%ED%96%89%EC%A7%80%EC%A3%BC%C2%B7%EC%9D%80%ED%96%89+%EC%9E%90%EC%B2%B4%EC%A0%95%EC%83%81%ED%99%94%EA%B3%84%ED%9A%8D+%EC%9E%91%EC%84%B1%EC%A7%80%EC%B9%A8_%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95.hwp,은행감독국,RRP 전담반,이정환 선임조사역,02-3145-8036,"- 아 래 -            

  - [관리번호] 감2023-21006 
  - [감독행정목적] D-SIFI들의 실효성 있는 자체정상화계획 작성
  - [감독행정내용] 붙임 참조
  - [관련법령]  금융산업구조개선법 시행령 제5조의5, 금융지주회사감독규정 제25조의5 및 <별표4>, 은행업감독규정 제26조의4 및 <별표9>
  - [내부경영사항 관련] 해당 없음"
감2023-41016,부당 보험계약 승환 방지를 위한 비교안내 확인서 표준안 및 유의사항 통보,보험감독국,20231024,시행중,붙임 1. 비교안내 확인서 표준안 1부.pdf | 붙임 2. 부당승환 방지를 위한 유의사항 1부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170600_20231024151434991_0.pdf&filere=%EB%B6%99%EC%9E%84+1.+%EB%B9%84%EA%B5%90%EC%95%88%EB%82%B4+%ED%99%95%EC%9D%B8%EC%84%9C+%ED%91%9C%EC%A4%80%EC%95%88+1%EB%B6%80.pdf | https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170600_20231024151435019_1.pdf&filere=%EB%B6%99%EC%9E%84+2.+%EB%B6%80%EB%8B%B9%EC%8A%B9%ED%99%98+%EB%B0%A9%EC%A7%80%EB%A5%BC+%EC%9C%84%ED%95%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+1%EB%B6%80.pdf,보험감독국,보험제도팀,조수민 검사역,02-3145-7477,"1. 항상 우리원 업무에 적극 협조하여 주셔서 감사드립니다.

2. 우리원에서 승환 제도개선 T/F 운영을 통해 마련한 보험계약 이동에 따른 비교안내 확인서 표준안(’23.12월중 시행)과 유의사항을 송부하오니 관련 업무에 참고하시어 향후 법규 이행에 차질이 없도록 유의하여 주시기 바랍니다.

            - 아 래 - 

  - [관리번호] 감2023-41016 
  - [감독행정목적] 부당 보험계약 승환 방지
  - [감독행정내용] 붙임 참조
  - [관련법령] 보험업법
  - [내부경영사항 관련] 해당 없음

붙임 1. 비교안내 확인서 표준안 1부.
       2. 부당승환 방지를 위한 유의사항 1부.  끝."
감2023-31002,금융거래정보 제출시 유의사항 안내(증권),금융투자검사국,20230911,시행중,(붙임) 금융거래정보 제출시 작성요령 등 유의사항.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170396_20230911152510114_0.hwp&filere=%28%EB%B6%99%EC%9E%84%29+%EA%B8%88%EC%9C%B5%EA%B1%B0%EB%9E%98%EC%A0%95%EB%B3%B4+%EC%A0%9C%EC%B6%9C%EC%8B%9C+%EC%9E%91%EC%84%B1%EC%9A%94%EB%A0%B9+%EB%93%B1+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.hwp,금융투자검사국,검사기획팀,유경민 선임검사역,3145-7014,"1. 관련근거
            - 금융규제 운영규정 제16조

          2. 금융감독원은「금융위원회의 설치 등에 관한 법률」제40조제1항, 제41조,「금융실명거래 및 비밀보장에 관한 법률」제4조제1항제4호, 제4조제2항, 「금융위원회 고시 규정」 [별지 3] 금융거래정보의 제공 요구서에 따라 금융회사 등에 거래정보 등을 요구하고 있습니다.

          3. 한편, 금융회사가 금융거래정보를 제출시 주요 정보들을 기재하지 않은 상태로 제출하여 수정·보완 요구가 반복되는 바, 검사기간이 장기화되는 등 금융회사의 업무부담이 가중되고 있습니다.

          4. 이에 아래와 같이 금융실명법 등에 근거한 금융거래정보 제출시 작성요령 등 유의사항을 안내하오니, 향후 금융거래정보 제출시 주요 정보들이 누락되지 않도록 만전을 기하여 주시기 바랍니다.

          ※ '23.9월 계획중인 증권·선물회사 내부통제 워크숍에서 상세 내용 안내 및 질의응답 예정

            - 아 래 -            

  - [관리번호] 감2023-31002 
  - [감독행정목적] 금융거래정보 제출시 주요 정보 기재 누락 방지
  - [감독행정내용] 붙임 참조
  - [관련법령] 금융위원회의 설치 등에 관한 법률, 금융실명거래 및 비밀보장에 관한 법률 
  - [내부경영사항 관련] 해당 없음"
감2023-11003,금융거래정보 제출시 유의사항 안내(상호금융),상호금융국,20230831,시행중,(붙임) 금융거래정보 제출시 작성요령 등 유의사항.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2120233_20230830093502274_0.hwp&filere=%28%EB%B6%99%EC%9E%84%29+%EA%B8%88%EC%9C%B5%EA%B1%B0%EB%9E%98%EC%A0%95%EB%B3%B4+%EC%A0%9C%EC%B6%9C%EC%8B%9C+%EC%9E%91%EC%84%B1%EC%9A%94%EB%A0%B9+%EB%93%B1+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.hwp,상호금융국,검사기획팀,육승현 수석검사역,02-3145-8080,"1. 관련근거
            - 금융규제 운영규정 제16조

          2. 금융감독원은「금융위원회의 설치 등에 관한 법률」제40조제1항, 제41조,「금융실명거래 및 비밀보장에 관한 법률」제4조제1항제4호, 제4조제2항, 「금융위원회 고시 규정」 [별지 3] 금융거래정보의 제공 요구서에 따라 금융회사 등에 거래정보 등을 요구하고 있습니다.

          3. 한편, 금융회사가 금융거래정보를 제출시 주요 정보들을 기재하지 않은 상태로 제출하여 수정·보완 요구가 반복되는 바, 검사기간이 장기화되는 등 금융회사의 업무부담이 가중되고 있습니다.

          4. 이에 아래와 같이 금융실명법 등에 근거한 금융거래정보 제출시 작성요령 등 유의사항을 안내하오니, 귀 중앙회의 소속 조합에 신속히 전파하시어 향후 금융거래정보 제출시 주요 정보들이 누락되지 않도록 만전을 기하여 주시기 바랍니다.

            - 아 래 -            

  - [관리번호] 감2023-11003 
  - [감독행정목적] 금융거래정보 제출시 주요 정보 기재 누락 방지
  - [감독행정내용] 붙임 참조
  - [관련법령] 금융위원회의 설치 등에 관한 법률, 금융실명거래 및 비밀보장에 관한 법률  
  - [내부경영사항 관련] 해당 없음"
감2023-21003,소셜미디어에서의 평판 관리 참고사항 안내,은행감독국,20230829,시행중,(붙임) 소셜미디어에서의 평판 관리 기본원칙.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2160466_20230829091554727_0.hwp&filere=%28%EB%B6%99%EC%9E%84%29+%EC%86%8C%EC%85%9C%EB%AF%B8%EB%94%94%EC%96%B4%EC%97%90%EC%84%9C%EC%9D%98+%ED%8F%89%ED%8C%90+%EA%B4%80%EB%A6%AC+%EA%B8%B0%EB%B3%B8%EC%9B%90%EC%B9%99.hwp,은행감독국,건전경영팀,임성준 선임검사역,02-3145-8053,"- 아 래 -            

  - [관리번호] 감2023-21003 
  - [감독행정목적] 디지털 뱅크런 예방을 위한 소셜미디어에서의 평판 관리 관련 참고사항 안내
  - [감독행정내용] 붙임 참조
  - [관련법령] 은행업감독업무시행세칙 [별표9-2] 
  - [내부경영사항 관련] 해당 없음"
감2023-21002,금융거래정보 제출시 유의사항 안내(은행),은행검사1국,20230828,시행중,(붙임) 금융거래정보 제출시 작성요령 등 유의사항.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170108_20230828134125427_0.hwp&filere=%28%EB%B6%99%EC%9E%84%29+%EA%B8%88%EC%9C%B5%EA%B1%B0%EB%9E%98%EC%A0%95%EB%B3%B4+%EC%A0%9C%EC%B6%9C%EC%8B%9C+%EC%9E%91%EC%84%B1%EC%9A%94%EB%A0%B9+%EB%93%B1+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.hwp,은행검사1국,검사기획팀,김은지 선임조사역,02-3145-7063,"1. 관련근거
            - 금융규제 운영규정 제16조

          2. 금융감독원은「금융위원회의 설치 등에 관한 법률」제40조제1항, 제41조,「금융실명거래 및 비밀보장에 관한 법률」제4조제1항제4호, 제4조제2항, 「금융위원회 고시 규정」 [별지 3] 금융거래정보의 제공 요구서에 따라 금융회사 등에 거래정보 등을 요구하고 있습니다.

          3. 한편, 금융회사가 금융거래정보를 제출시 주요 정보들을 기재하지 않은 상태로 제출하여 수정·보완 요구가 반복되는 바, 검사기간이 장기화되는 등 금융회사의 업무부담이 가중되고 있습니다.

          4. 이에 아래와 같이 금융실명법 등에 근거한 금융거래정보 제출시 작성요령 등 유의사항을 안내하오니, 향후 금융거래정보 제출시 주요 정보들이 누락되지 않도록 만전을 기하여 주시기 바랍니다.

            - 아 래 -            

  - [관리번호] 감2023-21002 
  - [감독행정목적] 금융거래정보 제출시 주요 정보 기재 누락 방지 
  - [감독행정내용] 붙임 참조
  - [관련법령] 금융위원회의 설치 등에 관한 법률, 금융실명거래 및 비밀보장에 관한 법률
  - [내부경영사항 관련] 해당 없음"
감2023-41014,장기기증 공여자에 대한 보험계약 인수시 유의사항 안내,보험감독국,20230828,시행중,붙임_장기기증 공여자에 대한 보험계약인수시 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2200633_20230828155151934_0.hwp&filere=%EB%B6%99%EC%9E%84_%EC%9E%A5%EA%B8%B0%EA%B8%B0%EC%A6%9D+%EA%B3%B5%EC%97%AC%EC%9E%90%EC%97%90+%EB%8C%80%ED%95%9C+%EB%B3%B4%ED%97%98%EA%B3%84%EC%95%BD%EC%9D%B8%EC%88%98%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,특수보험2팀,장셈 선임조사역,02-3145-7479,"1. 관련근거 - 금융규제 운영규정 제16조

2. 장기등 이식에 관한 법률 제3조 등에 따라 장기기증 공여자에 대한 보험계약 인수와 관련하여, 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


            - 아 래 -            

  - [관리번호] 감2023-41014 
  - [감독행정목적] 장기기증 공여자에 대한 보험계약 인수시 유의사항 안내
  - [감독행정내용] 붙임 참조
  - [관련법령] 장기등 이식에 관한 법률 제3조 제2항 
  - [내부경영사항 관련] 해당 없음"
감2023-51003,금융거래정보 제출시 유의사항 안내(상호저축은행),저축은행검사국,20230816,시행중,(붙임) 금융거래정보 제출시 작성요령 등 유의사항.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2210129_20230816094725122_0.hwp&filere=%28%EB%B6%99%EC%9E%84%29+%EA%B8%88%EC%9C%B5%EA%B1%B0%EB%9E%98%EC%A0%95%EB%B3%B4+%EC%A0%9C%EC%B6%9C%EC%8B%9C+%EC%9E%91%EC%84%B1%EC%9A%94%EB%A0%B9+%EB%93%B1+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.hwp,저축은행검사국,검사3팀,김성수 선임조사역,02-3145-7403,"1. 관련근거
            - 금융규제 운영규정 제16조

          2. 금융감독원은「금융위원회의 설치 등에 관한 법률」제40조제1항, 제41조,「금융실명거래 및 비밀보장에 관한 법률」제4조제1항제4호, 제4조제2항, 「금융위원회 고시 규정」 [별지 3] 금융거래정보의 제공 요구서에 따라 금융회사 등에 거래정보 등을 요구하고 있습니다.

          3. 한편, 금융회사가 금융거래정보를 제출시 주요 정보들을 기재하지 않은 상태로 제출하여 수정·보완 요구가 반복되는 바, 검사기간이 장기화되는 등 금융회사의 업무부담이 가중되고 있습니다.

          4. 이에 아래와 같이 금융실명법 등에 근거한 금융거래정보 제출시 작성요령 등 유의사항을 안내하오니, 향후 금융거래정보 제출시 주요 정보들이 누락되지 않도록 만전을 기하여 주시기 바랍니다.

            - 아 래 -            

  - [관리번호] 감2023-51003 
  - [감독행정목적] 금융거래정보 제출시 주요 정보 기재 누락 방지
  - [감독행정내용] 붙임 참조
  - [관련법령] 금융위원회의 설치 등에 관한 법률, 금융실명거래 및 비밀보장에 관한 법률
  - [내부경영사항 관련] 해당 없음"
감2023-41012,불합리한 상품개발·판매 관련 유의사항,보험감독국,20230719,시행중,감독행정_붙임.hwpx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2110303_20230719111606190_0.hwpx&filere=%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95_%EB%B6%99%EC%9E%84.hwpx,보험감독국,특수보험2팀,이강현 수석조사역,02-3145-7465,"- 아 래 -            

  - [관리번호] 감2023-41012 
  - [감독행정목적] 소비자 피해방지 및 보험회사 건전성 제고
  - [감독행정내용] 붙임 참조
  - [관련법령]  보험업감독업무시행세칙 제5-19조 및 [별표18]
  - [내부경영사항 관련] 해당 없음"
감2023-41008,보험회사 책임준비금 및 수익인식 가이드라인,보험리스크제도실,20230620,폐지,보험회사 책임준비금 산출 및 수익인식 가이드라인_FFF.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2150155_20230620132451817_0.hwp&filere=%EB%B3%B4%ED%97%98%ED%9A%8C%EC%82%AC+%EC%B1%85%EC%9E%84%EC%A4%80%EB%B9%84%EA%B8%88+%EC%82%B0%EC%B6%9C+%EB%B0%8F+%EC%88%98%EC%9D%B5%EC%9D%B8%EC%8B%9D+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8_FFF.hwp,보험리스크제도실,보험리스크총괄팀,봉은정 선임조사역,02-3145-7248,"- 아 래 -            

  - [관리번호] 감2023-41008 
  - [감독행정목적] 보험회사 책임준비금 산출 및 수익인식 가이드라인 제시
  - [감독행정내용] 붙임 참조
  - [관련법령] 보험업법 제120조, 보험업법시행령 제63조, 제65조, 보험업감독규정 제6-11조 제7-2조의2 및 보험업감독업무시행세칙 <별표22>, <별표35> 등 
  - [내부경영사항 관련] 해당 없음

  - 폐지일자 : 2024.8.21.
  - 폐지사유 : 「보험업감독업무시행세칙」 [별표35]에 반영(2024.1.1. 시행)되어 감독행정의 유지 필요성 없음.  끝."
감2023-31001,특수집합투자기구 운용 관련 유의사항 안내,자산운용감독국,20230613,시행중,특수집합투자기구 운용 관련 유의사항.hwpx | 특수집합투자기구 운용 관련 유의사항.pdf,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2160092_20230615162916250_0.hwpx&filere=%ED%8A%B9%EC%88%98%EC%A7%91%ED%95%A9%ED%88%AC%EC%9E%90%EA%B8%B0%EA%B5%AC+%EC%9A%B4%EC%9A%A9+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.hwpx | https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2160092_20230615162916263_1.pdf&filere=%ED%8A%B9%EC%88%98%EC%A7%91%ED%95%A9%ED%88%AC%EC%9E%90%EA%B8%B0%EA%B5%AC+%EC%9A%B4%EC%9A%A9+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.pdf,자산운용감독국,자산운용제도팀,김상우 선임조사역,02-3145-6719,"1. 관련근거 : 「금융규제 운영규정」 제16조

          2. 「자본시장과 금융투자업에 관한 법률」 제40조에 따른 겸영업무 영위 및 제85조에 따른 집합투자업자의 불건전 영업행위와 관련하여, 붙임을 참고하시어 업무 수행 시 유의하여 주시기 바랍니다. 

            - 아 래 -            

  - [관리번호] 감2023-31001 
  - [감독행정목적] 특수집합투자기구 운용 관련 유의사항
  - [감독행정내용] 붙임 참조
  - [관련법령]  자본시장과 금융투자업에 관한 법률 등
  - [내부경영사항 관련] 해당 없음"
감2023-41006,신의료기술 관련 실손보험금 지급심사 및 소송 진행시 유의사항,보험감독국,20230609,시행중,신의료기술 관련 실손보험금 지급심사 및 소송 진행 시 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2200633_20230608085755398_0.hwp&filere=%EC%8B%A0%EC%9D%98%EB%A3%8C%EA%B8%B0%EC%88%A0+%EA%B4%80%EB%A0%A8+%EC%8B%A4%EC%86%90%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EC%8B%AC%EC%82%AC+%EB%B0%8F+%EC%86%8C%EC%86%A1+%EC%A7%84%ED%96%89+%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,특수보험2팀,장셈 선임조사역,02-3145-7479,"1. 관련근거 - 금융규제 운영규정 제16조

2. 보험업법 제127조의3 및 금융회사의 지배구조 감독규정 제11조 등에 따라 신의료기술 관련 실손보험금 지급심사 및 소송진행과 관련하여, 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다. 


            - 아 래 -            

  - [관리번호] 감2023-41006 
  - [감독행정목적] 신의료기술 관련 실손보험금 지급심사 및 소송 진행시 유의사항
  - [감독행정내용] 붙임 참조
  - [관련법령] 보험업법 제127조의3 및 금융회사의 지배구조 감독규정 제11조 등
  - [내부경영사항 관련] 해당 없음


붙임 : 신의료기술 관련 실손보험금 지급심사 및 소송 진행 시 유의사항 안내. 끝."
감2023-41005,화재보험 모집 및 인수시 유의사항,보험감독국,20230601,시행중,(붙임) 화재보험 모집 및 인수시 유의사항 안내.hwpx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2190114_20230601142013202_0.hwpx&filere=%28%EB%B6%99%EC%9E%84%29+%ED%99%94%EC%9E%AC%EB%B3%B4%ED%97%98+%EB%AA%A8%EC%A7%91+%EB%B0%8F+%EC%9D%B8%EC%88%98%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwpx,보험감독국,특수보험2팀,김남혁 선임조사역,02-3145-7470,"1. 관련근거 - 금융규제 운영규정 제16조

2. 금융소비자 보호에 관한 법률 제16조 및 제19조 등에 따라 화재보험 모집 및 인수 운영과 관련하여, 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


            - 아 래 -            

  - [관리번호] 감2023-41005 
  - [감독행정목적] 화재보험 모집 및 인수시 유의사항
  - [감독행정내용] 붙임 참조
  - [관련법령] 금융소비자 보호에 관한 법률 제16조 및 제19조 등
  - [내부경영사항 관련] 해당 없음

붙임 : 화재보험 모집 및 인수시 유의사항 안내. 끝."
감2023-11001,전자금융사고 최초보고시 유의사항 안내,IT검사국,20230424,시행중,230418_전자금융사고 최초보고시 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2180159_20230418171620824_0.hwp&filere=230418_%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EC%82%AC%EA%B3%A0+%EC%B5%9C%EC%B4%88%EB%B3%B4%EA%B3%A0%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,IT검사국,검사기획팀,김진원 선임조사역,02-3145-7429,"- 아 래 -            

  - [관리번호] 감2023-11001 
  - [감독행정목적] 전자금융감독규정 제73조에 따른 전자금융사고 최초보고 기한 안내
  - [감독행정내용] 최초보고 기한을 24시간 이내로 안내
  - [관련법령] 전자금융감독규정 제73조 및 전자금융감독규정시행세칙 제12조제1항제1호
  - [내부경영사항 관련] 해당 없음"
감2023-41004,형사합의금 및 변호사선임비용 가입금액 운영시 유의사항,보험감독국,20230327,시행중,붙임_형사합의금 및 변호사선임비용 가입금액 운영시 유의사항 안내 F.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2131226_20230327105234252_0.hwp&filere=%EB%B6%99%EC%9E%84_%ED%98%95%EC%82%AC%ED%95%A9%EC%9D%98%EA%B8%88+%EB%B0%8F+%EB%B3%80%ED%98%B8%EC%82%AC%EC%84%A0%EC%9E%84%EB%B9%84%EC%9A%A9+%EA%B0%80%EC%9E%85%EA%B8%88%EC%95%A1+%EC%9A%B4%EC%98%81%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4+F.hwp,보험감독국,특수보험2팀,최영석 팀장,02-3145-7464,"1. 관련근거 - 금융규제 운영규정 제16조

2. 보험업감독업무시행세칙 제5-19조(보험상품 심사기준) 및 [별표18] 등에 따라 형사합의금 및 변호사선임비용 가입금액 운영과 관련하여, 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.

            - 아 래 -            

  - [관리번호] 감2023-41004 
  - [감독행정목적] 형사합의금 및 변호사선임비용 가입금액 운영시 유의사항 
  - [감독행정내용] 붙임 참조
  - [관련법령] 보험업감독업무시행세칙 제5-19조 및 [별표18] 
  - [내부경영사항 관련] 해당 없음

붙임 : 형사합의금 및 변호사선임비용 가입금액 운영시 유의사항 안내. 끝."
감2021-33001,집합투자기구의 총액인수수수료 회계처리 관련 유의사항 안내,자산운용검사국,20210624,시행중,붙임1_총액인수수수료 회계처리 관련 유의사항 안내_F.hwp | 붙임2_총액인수수수료 회계처리 관련 자료제출 양식.xlsx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2070499_20210624103309987_0.hwp&filere=%EB%B6%99%EC%9E%841_%EC%B4%9D%EC%95%A1%EC%9D%B8%EC%88%98%EC%88%98%EC%88%98%EB%A3%8C+%ED%9A%8C%EA%B3%84%EC%B2%98%EB%A6%AC+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4_F.hwp | https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2070499_20210624103309990_1.xlsx&filere=%EB%B6%99%EC%9E%842_%EC%B4%9D%EC%95%A1%EC%9D%B8%EC%88%98%EC%88%98%EC%88%98%EB%A3%8C+%ED%9A%8C%EA%B3%84%EC%B2%98%EB%A6%AC+%EA%B4%80%EB%A0%A8+%EC%9E%90%EB%A3%8C%EC%A0%9C%EC%B6%9C+%EC%96%91%EC%8B%9D.xlsx,자산운용검사국,검사2팀,한광종 선임조사역,02-3145-7643,"1. 관련근거 -금융규제 운영규정 제16조

2. 집합투자기구의 총액인수수수료 회계처리와 관련하여 유의사항을 송부하오니 <붙임1>을 참고하여 관련 업무 수행시 만전을 기하여 주시기 바라며, 총액인수수수료 회계처리를 변경해야하는 등 해당사항이 있을 경우 <붙임2>를 참고하여 ’21.9.8.까지 우리원에 제출하여 주시기 바랍니다.


-  아    래  -

 - [관리번호] 감2021-33001
 - [지도목적] 집합투자기구의 총액인수수수료 회계처리 관련 유의사항 안내
 - [지도내용] 붙임 참조
 - [유효기간] 해당사항 없음
 - [담당자] 금융감독원 자산운용검사국 검사2팀 황인욱 선임검사역
 - [관련법령] 자본시장법 제240조
 - [내부경영사항 관련] 해당 없음

 붙임 1 : 집합투자기구의 총액인수수수료 회계처리 관련 유의사항 안내 1부.
 붙임 2 : 집합투자기구의 총액인수수수료 관련 자료제출 양식 1부.  끝."
