번호,제목,담당부서,보도일,첨부파일,첨부파일내용 미리보기,상세페이지URL,내용,문제유형,파싱된보도일,원본보도일
877,"금융위원회, 「개인채무자보호법 시행상황 점검반 회의」 개최",은행감독국/민생침해대응총괄국/디지털혁신국/중소금융감독국/여신금융감독국/자본시장감독국/보험감독국,2024.12.20,"241220(보도자료) 금융위원회, 「개인채무자보호법 시행상황 점검반 회의」 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=256596ca141c4adeb0d74a051249b109&fileSn=1&bbsId=)","<><보도자료><><보도시점><2024.12.20.(금) 14:00><배포><2024.12.20.(금) 10:00><금융위원회, ｢개인채무자보호법 시행상황 점검반 회의｣ 개최> <◈ 「개인채무자보호법」 시행(10.17일) 후 2개월이 지난 시점에서, 그간의 법 시행상황을 점검하기 위해 「개인채무자보호법 시행상황 점검반 회의」(반장: 금융위 부위원장)를 개최",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189174&menuNo=200218&pageIndex=88,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-20),2024-12-20,
878,"이복현 금융감독원장, 건설업계 및 부동산시장 전문가 간담회 개최",감독총괄국,2024.12.20,"241220 (보도자료) 1000_이복현 금융감독원장, 건설업계 및 부동산시장 전문가 간담회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=adec578561bd44a297ea89315a317299&fileSn=1&bbsId=), 241220 (보도자료) 1000_이복현 금융감독원장, 건설업계 및 부동산시장 전문가 간담회 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=adec578561bd44a297ea89315a317299&fileSn=2&bbsId=)","<><보 도 자 료><> <> <보도><2024.12.20.(금) 10:00><배포><2024.12.19.(목)> <> <담당부서><감독총괄국 감독총괄팀><책임자><국 장><김충진><(02-3145-8300)><담당자><팀 장><변재은><(02-3145-8001)> <> <이복현 금융감독원장, 건설업계 및 부동산시장 전문가 간담회 개최 - 최근 시장 변동성",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189160&menuNo=200218&pageIndex=88,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-20),2024-12-20,
879,'24.6월말 기준 금융회사 해외 부동산 대체투자 현황,감독총괄국,2024.12.20,"241220 (보도자료) 석간_'24.6월말 기준 금융회사의 해외 부동산 대체투자 현황.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=3664aa5d54d248ada1dcf1aec5fac289&fileSn=1&bbsId=), 241220 (보도자료) 석간_'24.6월말 기준 금융회사의 해외 부동산 대체투자 현황.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=3664aa5d54d248ada1dcf1aec5fac289&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.12.20.(금) 석간><배포><2024.12.19.(목)> <> <담당부서><감독총괄국 감독정보팀><책임자><팀 장><박귀욱><(02-3145-8290)><담당자><조사역><허세환><(02-3145-8293)> <> <'24.6월말 기준 금융회사 해외 부동산 대체투자 현황> <1><>< 투자 현황> □ 금융,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189156&menuNo=200218&pageIndex=88,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-20),2024-12-20,
880,2024년도 제30회 보험중개사 시험 최종 합격자 발표,보험감독국,2024.12.19,"241219 (보도자료) 배포시_2024년 제30회 보험중개사 시험 최종 합격자 발표.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6414c1afdcd84819804ae176837b92c9&fileSn=1&bbsId=), 241219 (보도자료) 배포시_2024년 제30회 보험중개사 시험 최종 합격자 발표.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6414c1afdcd84819804ae176837b92c9&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><배포시><배포><2024.12.19.(목)> <> <담당부서><금융감독원 보험감독국 보험제도팀><책임자><국 장><노영후><(02-3145-7460)><담당자><팀 장><황기현><(02-3145-7474)><보험개발원 경영관리부문 약관업무팀><책임자><부문장><오승철><(02-368-4057)><담당자><팀 장><장재,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189150&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
881,‘24년도 금융정보보호협의회 정기총회 개최,금융IT안전국,2024.12.19,"241219 (보도자료) 배포시_‘24년도 금융정보보호협의회 정기총회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6e2edf85f23c4a9cbadf1342c876926e&fileSn=1&bbsId=), 241219 (보도자료) 배포시_‘24년도 금융정보보호협의회 정기총회 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6e2edf85f23c4a9cbadf1342c876926e&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><배포시><배포><2024.12.19.(목)> <> <담당부서><금융감독원 금융IT안전국><책임자><국 장><위충기><(02-3145-7120)><담당자><팀 장><안태승><(02-3145-7130)><금융정보보호협의회 사무국><책임자><사무국장><이찬웅><(02-3495-9700)><담당자><팀 장><안희정><(02-,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189137&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
882,"금감원 자본시장특사경, 코스닥 이전상장 과정에서 미공개정보 이용행위 적발",자본시장특별사법경찰,2024.12.19,"241219 (보도참고) 배포시_금감원 자본시장특사경, 코스닥 이전상장 과정에서 미공개정보 이용행위 적발.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7c872a20d12f41c493d39f1ac07f974c&fileSn=1&bbsId=), 241219 (보도참고) 배포시_금감원 자본시장특사경, 코스닥 이전상장 과정에서 미공개정보 이용행위 적발.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7c872a20d12f41c493d39f1ac07f974c&fileSn=2&bbsId=)","<><보 도 참 고><> <> <보도><배포시><배포><2024.12.19.(목)> <> <담당부서><자본시장특별사법경찰><책임자><국 장><김회영><(02-3145-5600)><담당자><팀 장><강성곤><(02-3145-5605)> <> <금감원 자본시장특사경, 코넥스 상장법인 임원 등의 미공개정보 이용행위 적발 - ‘코스닥 이전상장 무산’ 악재성 정보,",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189136&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
883,내년부터 배당 절차 개선방안 이행 관련 사항을 사업보고서에 구체적으로 기재해야 합니다,기업공시국,2024.12.19,"241219 (보도자료) 내년부터 배당 절차 개선방안 이행 관련 사항을 사업보고서에 구체적으로 기재해야 합니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=2a993582b1474d0fbabb890f00004e05&fileSn=1&bbsId=), 241219 (보도자료) 내년부터 배당 절차 개선방안 이행 관련 사항을 사업보고서에 구체적으로 기재해야 합니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=2a993582b1474d0fbabb890f00004e05&fileSn=2&bbsId=)","<><보 도 자 료><> <> <보도><배포시><배포><2024.12.19.(목)> <> <담당부서><기업공시국><책임자><국 장><조치형><(02-3145-8100)><기업공시총괄팀><담당자><수석조사역><허 훈><(02-3145-8478)> <> <내년부터, 배당절차 개선방안 이행에 관한 사항을 사업보고서에 구체적으로 기재해야 합니다.> <주요 내용 □",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189119&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
884,부동산 PF 상황 점검회의 개최,감독총괄국/중소금융검사1국,2024. 12. 19,241219(보도자료) 부동산 PF 상황 점검회의 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=9b905f585e62471fbe244393b59b2153&fileSn=1&bbsId=),"<><보도자료><> <보도시점><2024. 12. 19.(목) 14:00><배포><2024. 12. 19.(목) 10:00> <부동산 PF 상황 점검회의 개최> <◈ 신규 PF 취급액이 2개 분기(’24.2분기·3분기) 연속 15조원을 상회하는 등 자금 선순환 개선의 움직임이 있으며, 브릿지론 취급비중도 확대 추세 * PF신규취급액(조원) : (‘23.2Q",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189117&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
885,고등학교 금융과목 선택장려 및 교육현장 지원을 위한 설명회 개최,금융교육국,2024.12.19,241219(보도자료) 고등학교 금융과목 선택장려 및 교육현장 지원을 위한 설명회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=cd29d1ea210443c3afea9644d1d34650&fileSn=1&bbsId=),"<광부><보도자료><> <보도시점><2024.12.19.(목) 14:00><배포><2024.12.19.(목) 10:00> <고등학교 금융과목 선택장려 및 교육현장 지원을 위한 설명회 개최> < ◈ 내년부터 고등학교에 선택과목으로 신설되는 ‘금융과 경제생활’ 과목 선택을 장려하고 금융교육 현장을 지원하기 위하여 교사 등 학교 관계자 130여 명, 금융교육 관",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189118&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
886,"금감원, 확대 금융상황 점검회의 개최(12.19일)",금융시장안정국,2024.12.19,"241219 (보도참고) 금감원, 확대 금융상황 점검회의 개최(12.19일).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=992c5f17fcb74f5aa2cb95cd5cb6b435&fileSn=1&bbsId=), 241219 (보도참고) 금감원, 확대 금융상황 점검회의 개최(12.19일).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=992c5f17fcb74f5aa2cb95cd5cb6b435&fileSn=2&bbsId=)","<><보 도 참 고><> <> <보도><배포시><배포><2024.12.19.(목)> <> <담당부서><금융시장안정국 금융시장총괄팀><책임자><국 장><이 진><(02-3145-8170)><담당자><수석조사역><신상주><(02-3145-8187)> <> <금감원, 확대 금융상황 점검회의 개최(12.19일)> □ 금융감독원은 FOMC* 종료(25bp 인하) 직",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189113&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
887,"금융감독원, 대부업,대부중개업자 CEO 간담회 개최",민생침해대응총괄국,2024.12.19,"241219 (보도자료) 1030_대부업, 대부중개업자 CEO 간담회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7f0442f963a74875bfb9bcf3421d1ee8&fileSn=1&bbsId=), 241219 (보도자료) 1030_대부업, 대부중개업자 CEO 간담회 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7f0442f963a74875bfb9bcf3421d1ee8&fileSn=2&bbsId=)","<><보 도 자 료><> <> <보도><2024.12.19.(목) 10:30><배포><2024.12.18.(수)> <> <담당부서><민생침해대응총괄국 대부업감독팀><책임자><국 장><이행정><(02-3145-8270)><담당자><팀 장><박운규><(02-3145-8288)> <> <금융감독원, 대부업·대부중개업자 CEO 간담회 개최> <Ⅰ><>< 간담회 개",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189112&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
888,금융안정 및 실물경제 지원 역량 강화를 위한 선제적 조치,감독총괄국/은행감독국/보험리스크관리국,2024.12.19,(금감원) 보도참고_금융안정 및 실물경제 지원 역량 강화를 위한 선제적 조치_F.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=9a00e6230c55459fbe2878769a2a1401&fileSn=1&bbsId=), <광부><보도참고><> <보도시점><배포 시><배포><2024.12.19.(목) 08:20> <금융안정 및 실물경제 지원 역량 강화를 위한 선제적 조치> 금융위원회(위원장 김병환)와 금융감독원(원장 이복현)은 최근 대내외 불확실성에 따른 시장 변동성 확대 가능성에 대비하여 금융안정 및 국내기업 등 실물경제 지원 역량 강화를 위한 선제적 조치를 발표하였습니,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189109&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
889,금융감독원 가상자산 불공정거래 소명자료 요청 사칭메일에 주의하세요,가상자산조사국,2024.12.18,241218 [보도자료] 금융감독원 가상자산 불공정거래 소명자료 요청 사칭메일에 주의하세요_F.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=43dfa17b987d4e56a3ee9d91ff5eff13&fileSn=1&bbsId=),<><보 도 자 료><> <> <보도><배포시><배포><2024. 12. 18. (수)> <> <담당부서><가상자산조사국 가상자산조사기획팀><책임자><팀 장><진세동><(02-3145-7102)><담당자><수석조사역><김진구><(02-3145-7198)> <> <“금융감독원의 가상자산 불공정거래 관련 소명자료 요청?” 사칭 메일에 주의하세요!> < ▣ 소비,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189107&menuNo=200218&pageIndex=89,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
890,"사업보고서 등에 대한 조사,감리결과 조치 - 제22차 증권선물위원회(12.18.) 조치 의결",회계감리1국,2024.12.18,241218(보도참고) 사업보고서 등에 대한 조사·감리결과 조치 - 제22차 증권선물위원회(12.18.) 조치 의결.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=e8ad427792124d1c8ae6dfe6e26b4c4e&fileSn=1&bbsId=)," < 금융위원회><보도참고자료><> <보도시점><배포 시><배포><2024. 12. 18.(수)> <사업보고서 등에 대한 조사·감리결과 조치> <- 제22차 증권선물위원회(12.18.) 조치 의결> 증권선물위원회는 12월 18일 제22차 회의에서, 회계처리기준을 위반하여 재무제표를 작성·공시한 ㈜이렘 등 2개사에 대하여 감사인지정 등의 조치를 의결하였습니다",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189106&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
891,[금융꿀팁] 157 은퇴준비자의 연금설계를 위한 꿀팁,연금감독실,2024.12.19,"241219 (보도자료) 석간_[금융꿀팁] 157 은퇴준비자의 연금설계를 위한 꿀팁.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=59e870269dcd49acb8292c5951074433&fileSn=1&bbsId=), 241219 (보도자료) 석간_[금융꿀팁] 157 은퇴준비자의 연금설계를 위한 꿀팁.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=59e870269dcd49acb8292c5951074433&fileSn=2&bbsId=)",<><보 도 참 고><> <> <보도><2024.12.19.(목) 석간><배포><2024.12.18.(수)> <> <담당부서><연금감독실 연금감독팀><책임자><팀 장><이상탁><(02-3145-5190)><담당자><조사역><고민정><(02-3145-5194)> <> <[금융꿀팁] <157> 은퇴준비자의 연금설계를 위한 꿀팁> <주요 내용 □ 금융감독원은 금,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189094&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-19),2024-12-19,
892,금융감독원은 사이버 위협에 선제적으로 대응하기 위해 금융IT 비상대응 점검회의를 개최하였습니다,금융IT안전국/IT검사국,2024.12.18,"241218 (보도자료) 배포시_금융감독원은 사이버 위협에 선제적으로 대응하기 위해 금융IT 비상대응 점검회의를 개최하였습니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=15fe3f49788d484a9da1ed86cbc80179&fileSn=1&bbsId=), 241218 (보도자료) 배포시_금융감독원은 사이버 위협에 선제적으로 대응하기 위해 금융IT 비상대응 점검회의를 개최하였습니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=15fe3f49788d484a9da1ed86cbc80179&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><배포시><배포><2024.12.18.(수)> <> <담당부서><금융감독원 금융IT안전국><책임자><국 장><위충기><(02-3145-7120)><담당자><팀 장><안태승><(02-3145-7130)><금융감독원 IT검사국><책임자><국 장><유희준><(02-3145-7420)><담당자><팀 장><김현돈><(02-314,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189073&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
893,ATS 도입 준비를 위한 유관기관 합동 설명회 개최,자본시장감독국,2024.12.18,241218_(보도자료) ATS 도입 준비를 위한 유관기관 합동 설명회 개최-수정.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=fcd1924649e0408e85d006c6c2bcce21&fileSn=1&bbsId=), <><보 도 자 료><> <> <보도><2024.12.18.(수) 15:00><배포><2024.12.18.(수)> <> <담당부서><금융감독원 자본시장감독국 ><책임자><국 장><임권순><(02-3145-7580)><담당자><선 임><이어진><(02-3145-7607)><금융투자협회증권선물본부><책임자><본부장><천성대><(02-2003-9013)><담당,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189066&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
894,복합지원 2.0으로 더욱 든든해지겠습니다 -「복합지원 1주년 성과점검 및 고도화 방안」 발표-,민생침해대응총괄국,2024.12.18,241218(보도자료) 복합지원 2.0으로 더욱 든든해지겠습니다 -「복합지원 1주년 성과점검 및 고도화 방안」 발표-.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4de0be4882df4fafa8932334d6e55726&fileSn=1&bbsId=),"< 금융위원회><보도자료><><보도시점><2024. 12. 18.(수) 15:00><배포><2024. 12. 18.(수) 09:00> <복합지원 2.0으로 더욱 든든해지겠습니다. - 「복합지원 1주년 성과점검 및 고도화 방안」 발표 -> < ◈ 7만명 이상께 복합지원 서비스 제공(~’24.11월), 이용자 80% 이상 만족 ◈ 복합지원 유입경로·분야 확대,",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189065&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
895,2025년 제1차 공인회계사 시험부터 취약계층에 대한 응시수수료 감면(50%)이 적용됩니다,회계감독국,2024.12.18,241218(보도자료) 2025년 제1차 공인회계사 시험부터 취약계층에 대한 응시수수료 감면(50%)이 적용됩니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7b44939a4caa471a86355df477db853d&fileSn=1&bbsId=)," <><보도자료><> <보도시점>< 2024.12.18.(수) 14:00><배포><2024.12.18.(수) 10:00> <2025년 제1차 공인회계사 시험부터 취약계층에 대한 응시수수료 감면(50%)이 적용됩니다. - 공인회계사 자격·징계위원회 개최 결과 -> 금융위원회는 ‘24.12.17일(화) 공인회계사 자격·징계위원회(위원장: 김소영 부위원장, 이하",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189055&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
896,연말연시 민생침해 범죄 대응체계 점검을 위한 은행권 CCO 간담회 개최,민생침해대응총괄국/금융사기대응단/자금세탁방지실,2024.12.18,"241218 (보도자료) 1000_연말연시 민생침해 범죄 대응체계 점검을 위한 은행권 CCO 간담회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7061032962f2452b85535ce9c9856cc1&fileSn=1&bbsId=), 241218 (보도자료) 1000_연말연시 민생침해 범죄 대응체계 점검을 위한 은행권 CCO 간담회 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7061032962f2452b85535ce9c9856cc1&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.12.18.(수) 10:00><배포><2024.12.17.(화)> <> <담당부서><민생침해대응총괄국 불법사금융대응1팀><책임자><국 장><이행정><(02-3145-8270)><담당자><팀 장><최승록><(02-3145-8129)><금융사기대응단 금융사기대응1팀><책임자><국 장><정재승><(02-3145-8,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189052&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
897,"불법사금융 피해예방과 피해자 보호 및 단속,처벌을 강화하겠습니다",민생침해대응총괄국,2024. 12. 17,241217(보도자료) 불법사금융 피해예방과 피해자 보호 및 단속？처벌을 강화하겠습니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d4b9204a1cda45d28aadf43b8d4400ba&fileSn=1&bbsId=), <><보도자료><> <보도시점><2024. 12. 17.(화) 16:00 ><배포><2024. 12. 16.(월) 16:00> <불법사금융 피해예방과 피해자 보호 및 단속‧처벌을 강화하겠습니다.> < ▶ 불법사금융 피해대응 및 피해예방을 위한 대국민 집중 홍보 ▶ 전국 253개 경찰서에 전담수사팀 신설 등 범죄단속‧수사역량 강화 ▶ 온라인 불법광고 차단시,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189024&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-17),2024-12-17,
898,"소상공인,자영업자 부담경감을 위해 영세,중소가맹점 우대수수료율을 인하합니다",여신금융감독국,2024.12.17,241217 (보도자료) 소상공인·자영업자 부담경감을 위해 영세·중소가맹점 우대수수료율을 인하합니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=be2707879b81400fafe530197ba5e52f&fileSn=1&bbsId=)," <><보도 자료><> <보도시점>< 2024.12.17.(화) 14:00><배포><2024.12.17.(화) 10:00> <소상공인·자영업자 부담경감을 위해 영세·중소가맹점 우대수수료율을 인하합니다. - 금융위원장, 카드사 CEO 간담회 개최 -> <󰊱 ’24년말 카드수수료 적격비용을 산정하고, 영세·중소가맹점 우대수수료율 인하 등 카드수수료 개편방안을 ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189020&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-17),2024-12-17,
899,금융당국이 2024년 총 12회 핀테크 기업들과 소통했습니다,디지털혁신국,2024.12.17,241217(보도자료) 금융당국이 2024년 총 12회 핀테크 기업들과 소통했습니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d7262fcea0d74e1ebb20a93549d350dd&fileSn=1&bbsId=),< 금융위원회><보도자료><> <보도시점><2024. 12. 17.(화) 14:00><배포><2024. 12. 17.(화) 10:00> <금융당국이 2024년 총 12회 핀테크 기업들과 소통했습니다. - ’24년 제12회 ｢찾아가는 금융규제 샌드박스｣ 간담회 개최 -> <- 핀테크 기업들의 규제 관련 의견을 청취하고 금융위 등이 직접 답변을 제공> 금융위원,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189019&menuNo=200218&pageIndex=90,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-17),2024-12-17,
900,보험 판매수수료를 분급하여 보험계약 유지율을 높여 나가겠습니다,보험감독국,2024.12.18,241217(보도자료) 보험 판매수수료를 분급하여 보험계약 유지율을 높여 나가겠습니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=438eb29e05b7442ab9bb5cc6ab7e7ee8&fileSn=1&bbsId=),<><보도자료><> <보도시점><2024.12.18.(수) 조간 ><배포><2024.12.17.(화) 10:00> <보험 판매수수료를 분급하여 보험계약 유지율을 높여 나가겠습니다.> <◈ 제5차 보험개혁회의에서 보험 판매수수료 개편방향 논의 ➊ 유지·관리 수수료 분급확대로 보험계약 유지·관리 강화 ➋ 사업비 부과목적에 맞게 선지급 수수료의 경우 계약체결비용,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189014&menuNo=200218&pageIndex=91,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
901,"이복현 금융감독원장, 일본 대형은행 연기금 및 밸류업 선도기업과 만나 글로벌 금융 현안 및 자본시장 선진화 방안 등을 논의",국제업무국(금융중심지지원센터)/금융시장안정국/기업공시국,2024.12.18,"241218 (보도자료) 조간_이복현 금융감독원장, 일본 대형은행 연기금 및 밸류업 선도기업과 만나 글로벌 금융 현안 및 자본시장 선진화 방안 등을 논의.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0b7bb989ad344d2582b80c99a1b082f9&fileSn=1&bbsId=), 241218 (보도자료) 조간_이복현 금융감독원장, 일본 대형은행 연기금 및 밸류업 선도기업과 만나 글로벌 금융 현안 및 자본시장 선진화 방안 등을 논의.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0b7bb989ad344d2582b80c99a1b082f9&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.12.18.(수) 조간><배포><2024.12.17.(화)> <> <담당부서><국제업무국 (금융중심지지원센터)><책임자><국 장><박성주><(02-3145-7890)><담당자><팀 장><박은혜><(02-3145-7892)><금융시장안정국 금융시장팀><책임자><국 장><이 진><(02-3145-8170)><담당,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189013&menuNo=200218&pageIndex=91,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-18),2024-12-18,
