규정명,기관명,본문,제정일,최근 개정일,소관부서,첨부파일링크,첨부파일이름
｢금융소비자보호 모범규준｣ 제정,은행연합회,"▣ 은행연합회 자율규제 신설 공고 ｢금융소비자보호 모범규준｣을 신설함에 있어 그 신설이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2021년 6월 25일 은행연합회 ｢금융소비자보호 모범규준｣ 제정 예고 1. 제정이유 은행이 ｢금융소비자 보호에 관한 법률｣에 따라 금융소비자 보호를 위한 금융소비자보호기준 제정 시 참고할 수 있는 ｢금융소비자보호 모범규준｣을 제정하고자 함 2. 주요내용 가. 금융소비자보호 법령에 따른 금융소비자의 기본적 권리를 규정 나. 민원·분쟁처리 관련 매뉴얼을 마련하도록 하고, 민원·분쟁 진행상황 및 처리결과를 효율적·체계적으로 관리하기 위한 전산처리시스템을 구축하도록 규정 다. 금융소비자보호법상 자료열람요구권, 청약철회권, 위법계약해지권 등 소비자 권리보장을 위한 대응체계를 마련할 것을 규정 3. 의견제출 동 규정 제정안에 대하여 의견이 있는 단체 또는 개인은 2021년 7월 4일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 신설사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳(이메일) :  kth0316@kfb.or.kr",,,소비자보호부,https://www.kfb.or.kr/include/download.php?enc_para=xPybvK0batuxwWn9qX/dEe905RKQHfqL2FQTcxClEC2V99EJTo*ffPnWE*mEK7j2Ez7UhJCtjOjj,(붙임) 금융소비자보호 모범규준 제정(안) 1부.hwp
｢금융소비자보호에 관한 내부통제 모범규준｣ 제정,은행연합회,"▣ 은행연합회 자율규제 신설 공고 ｢금융소비자보호에 관한 내부통제 모범규준｣을 신설함에 있어 그 신설이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2021년 6월 25일 은행연합회 ｢금융소비자보호에 관한 내부통제 모범규준｣ 제정 예고 1. 제정이유 은행이 ｢금융소비자 보호에 관한 법률｣에 따라 마련하여야 하는 내부통제기준 제정 시 참고할 수 있는 기준과 절차를 마련하기 위해 ｢금융소비자보호에 관한 내부통제 모범규준｣을 제정하고자 함 2. 주요내용 가. 금융소비자 보호 관련 내부통제제도 운영을 위한 업무의 분장 및 조직구조와 내부통제기준의 운영을 위한 조직·인력에 관한 사항 규정 나. 임직원이 금융소비자를 보호하기 위해 업무를 수행할 때 준수해야하는 기준과 절차, 금융소비자 대상 직무수행 임직원의 교육수준·자격에 관한 사항 규정 다. 내부통제기준 준수 여부에 대한 점검·조치 및 평가절차, 업무수행에 대한 보상체계 및 책임확보 방안 규정 3. 의견제출 동 규정 제정안에 대하여 의견이 있는 단체 또는 개인은 2021년 7월 4일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 신설사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳(이메일) :  kth0316@kfb.or.kr",,,소비자보호부,https://www.kfb.or.kr/include/download.php?enc_para=xP*bvK0batuxwWn9qX/dEcbVq*8kCbhKUicSe5V2gDjAxIujgbALOqx6J2lhXgPZkLcmcUp0dAC4,(붙임) 금융소비자보호에 관한 내부통제 모범규준 제정(안) 1부.hwp
｢은행권 채용절차 모범규준｣ 개정,은행연합회,"▣ 은행연합회 자율규제 개정예고 ｢은행권 채용절차 모범규준｣을 개정함에 있어 그 개정이유와 주요내용을 전문가, 금융소비자 등에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2020년 3월 10일 은행연합회 ｢은행권 채용절차 모범규준｣ 개정예고 1. 개정 이유 ㅇ 공공부문 공정채용 문화의 은행권 확산을 위해 고용노동부의 “공공부문 공정채용 확립 및 민간 확산 방안”(’19.11.8.) 등을 반영한「은행권 채용절차 모범규준」개정(안)을 마련* * 범금융권TF(고용노동부, 금융위, 금감원 및 6개협회 참여, ’19.11.29., 12.27., ’20.1.22., 2.6) 및 은행권 실무책임자 회의(’19.12.6., ’20.1.16.)를 통해 마련 2. 주요 개정내용 ㅇ 구조화된 면접* 도입 * 평가요소, 채점기준 등을 사전에 정하여 주관적요소의 개입을 최소화한 것으로 경험면접, 상황면접, 토론면접, 발표면접 등을 의미 - 필기평가 또는 면접전형 중 한가지 이상을 실시하되, - 면접전형은 구조화된 면접 등의 방식으로 실시 가능 ㅇ 직무의 수행에 필요하지 않은 개인정보 미수집 - 직무의 수행에 필요하지 않은 출신지역, 가족관계, 용모·키·체중 등 신체적 조건은 수집·요구하지 않음 ㅇ 불합리한 채용 차별 금지 - 지원자의 성별, 연령, 출신학교, 출신지, 신체조건 등을 이유로 불합리한 차별 금지 - 불합리한 채용 차별 방지를 위해 사전 교육 등을 실시하고 불합리한 차별에 대한 신고처 등을 마련 ㅇ 불공정 행위 면접위원 배제 - 개인정보 관련 질문 등 불공정 행위 면접위원은 채용 절차에서 배제 가능 3. 의견제출 □ 동 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2020년 3월 23일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 강화 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : yjeum@kfb.or.kr 붙임  1. ｢은행권 채용절차 모범규준｣ 개정(안) 전문 1부 2. ｢은행권 채용절차 모범규준｣ 개정(안) 신구조문대비표 1부.  끝.",,,기획조사부,https://www.kfb.or.kr/include/download.php?enc_para=xP6bvK0batuxwWn9qX/dEfuc8Y6nhJb1EG6aBccwfWSyY9iMNMflUGHoGf3Z/OI4a60fd4DhP8wK,홈페이지 게시.zip
｢비대면 은행영업 지침｣ 개정,은행연합회,"▣ 은행연합회 자율규제 강화 공고 ｢비대면 은행영업 지침｣을 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2020년 1월 20일 은행연합회 ｢비대면 은행영업 지침｣ 개정 예고 1. 개정 이유 ㅇ 금융산업의 신뢰 제고 등을 위해 금융당국에서 마련한 ‘금융소비자 보호 종합방안’(’19.4.18.) 중 ‘비대면 금융거래 맞춤형 소비자 보호 강화’를 위해 은행권 및 금융당국과 협의를 거쳐 ‘TM 판매 가이드라인’을 포함한 ｢비대면 은행영업 지침｣ 개정(안)을 마련함 2. 주요내용 ㅇ TM 상품설명 가이드라인 신설(지침 제5장 3.3.) - 개인정보의 보호에 관한 사항 - 통화자의 소속 및 통화목적 등 안내에 관한 사항 - 음성녹음 사실 및 주의사항 안내에 관한 사항 - 상품요약자료 제공방식 확인에 관한 사항 - 상품설명 시 음성의 강도와 속도 등에 관한 사항 - TM 상품설명 시 금지행위에 관한 사항 - 소비자 권리사항 등 안내에 관한 사항 ㅇ 전화통화 및 문자 전송제한의 예외사유 추가(지침 제3장 및 제5장 2.2.) - 고객의 개별 요청 또는 기존계약의 유지․관리를 위해 필요한 경우 3. 의견제출 □ 동 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2020년 2월 8일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 강화 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ㅇ 이메일 : yoonjin@kfb.or.kr 붙임 1. ｢비대면 은행영업 지침｣ 개정(안) 신구조문대비표 1부. 2. ｢비대면 은행영업 지침｣ 개정(안) 전문 1부. 끝.",,,수신제도부,https://www.kfb.or.kr/include/download.php?enc_para=xPmbvK0batuxwWn9qX/dEYArxxnEbmmW*BMveA3mjvpW6PjT69BrMlxglPVT4tX/xyQ5qghifznZ,「비대면 은행영업 지침」 개정(안).zip
｢새희망홀씨 운용규약｣ 개정,은행연합회,"▣ 은행연합회 자율규제 신설·강화 공고 ｢새희망홀씨 운용규약｣을 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2019년 7월 15일 은행연합회 ｢새희망홀씨 운용규약｣ 개정 예고 1. 개정 이유 ㅇ 산업·고용위기지역 내 새희망홀씨 성실상환자에 대한 긴급 생계자금 대출 지원 특례 시행기간과 ’20.10월말 종료 예정인 새희망홀씨 운용기간을 연장하기 위해 은행권 및 금융당국과 협의를 거쳐 ｢새희망홀씨 운용규약｣ 개정(안)을 마련함 2. 주요내용 ㅇ 산업·고용위기지역 지정기간이 연장됨에 따라 동 지역 내 새희망홀씨 성실상환자에 대한 긴급 생계자금 대출 지원 특례 시행기간 연장(위기지역지정해제일까지) ㅇ 서민의 금융 애로 해소에 지속적으로 기여할 수 있도록 은행권 대표 서민금융상품인 새희망홀씨 운용기간을 5년 연장(’20.10월말까지 → ’25.10월말까지) 3. 의견제출 □ 동 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2019년 8월 4일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 강화 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : jjw0303@kfb.or.kr 붙임 1. ｢새희망홀씨 운용규약｣ 개정(안) 신구조문대비표 1부. 2. ｢새희망홀씨 운용규약｣ 개정(안) 전문 1부. 끝.",,,여신제도부,https://www.kfb.or.kr/include/download.php?enc_para=xPibvK0batuxwWn9qX/dEWn*xv3gAW8gB2WXATawpjBEXNdGg6GGJ7rXJkIJDoSmQ640*0JOmf1W,「새희망홀씨 운용규약」개정(안) 신구조문대비표 및 전문 각 1부.zip
｢사회적금융 활성화를 위한 모범규준｣ 제정,은행연합회,"▣ 은행연합회 자율규제 신설 공고 ｢사회적금융 활성화를 위한 모범규준｣을 신설함에 있어 그 신설이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2018년 11월 13일 은행연합회 ｢사회적금융 활성화를 위한 모범규준｣ 신설 예고 1. 제정이유 □ 금융당국의 사회적금융취급 공동기준안 마련계획 발표(’18.9.19.)에 따라 은행권 및 금융당국과 협의를 거쳐 ｢사회적금융 활성화를 위한 모범규준｣ 제정(안)을 마련함 2. 주요내용 □ 사회적금융 취급 시 사회적가치 정보 활용 및 사회적경제기업에 대한 금융지원 등 ㅇ (사회적가치 정보 활용) 상대적으로 영세한 사회적경제기업에 대한 금융지원이 원활하게 이뤄질 수 있도록 대출취급 시 재무제표·신용등급·담보 이외에 취약계층 고용비중, 사회공헌 노력도, 지역사회 기여도와 같은 사회적가치 정보를 활용 ㅇ (금융지원) 사회적경제기업에 대한 은행의 지분투자, 운전자금·시설자금 용도의 대출(우대금리 포함) 및 컨설팅(회계·세무·경영자문)지원, 수수료감면 등 3. 의견제출 □ 동 규정 제정안에 대하여 의견이 있는 단체 또는 개인은 2018년 12월 3일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 신설사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : k-e0298@kfb.or.kr 붙임 ｢사회적금융 활성화를 위한 모범규준｣ 제정(안) 전문 1부. 끝.",,,여신제도부,https://www.kfb.or.kr/include/download.php?enc_para=xPubvK0batuxwWn9qX/dEf/sBk5MfdzfJkimjQi2UQ8FA7ZCWE9dIAHosl3p1cwHu9G5j5FKDkFi,「사회적금융 활성화를 위한 모범규준」 제정(안) 전문 1부.hwp
｢새희망홀씨 운용규약｣ 개정,은행연합회,"▣ 은행연합회 자율규제 신설·강화 공고 ｢새희망홀씨 운용규약｣을 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2018년 8월 14일 은행연합회 ｢새희망홀씨 운용규약｣ 개정 예고 1. 개정 이유 ㅇ 금융당국이 발표(’18.7.18.)한 새희망홀씨 긴급 생계자금 대출 지원 확대방안을 반영하기 위해 은행권 및 금융당국과 협의를 거쳐 ｢새희망홀씨 운용규약｣ 개정(안)을 마련함 2. 주요내용 ㅇ 위기지역 내 새희망홀씨 성실상환자를 대상으로 긴급 생계자금 대출 취급 시 대상·한도 확대 및 금리 우대 실시 ― (대상) (기존) 1년 이상 새희망홀씨 성실상환자 → (위기지역) 6개월 이상 새희망홀씨 성실상환자 ― (대출한도) (기존) 5백만원 이내 → (위기지역) 1천만원 이내 ― (금리우대) (기존) 최대 1%p 이내 → (위기지역) 최대 2%p 이내 ― (지원기한) ‘위기지역 지정 해제일’과 ‘시행일로부터 1년이 되는 날’ 가운데 빠른 날 3. 의견제출 □ 동 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2018년 9월 3일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 강화 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : jjw0303@kfb.or.kr 붙임 1. ｢새희망홀씨 운용규약｣ 개정(안) 신구조문대비표 1부. 2. ｢새희망홀씨 운용규약｣ 개정(안) 전문 1부. 끝.",,,여신제도부,https://www.kfb.or.kr/include/download.php?enc_para=xPqbvK0batuxwWn9qX/dEaah9QenXtKugJcxatYCQTjyyGnc6Y92*irKlm5oqHpx1ieODyV/2j6w,「새희망홀씨 운용규약」개정(안) 신구조문대비표 및 전문 각 1부.zip
｢자금용도외 유용 사후점검기준｣ 전면개정,은행연합회,"▣ 은행연합회 자율규제 신설·강화 공고 ｢자금용도외 유용 사후점검기준｣을 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2018년 6월 15일 은행연합회 ｢자금용도외 유용 사후점검기준｣ 전면개정 예고 1. 개정 이유 □ 가계대출 규제 강화로 개인사업자대출이 가계자금으로 유용될 가능성이 높아질 우려가 있어 개인사업자대출 용도외 유용 사후점검의 실효성 확보를 위해 은행권 의견을 수렴하여 ｢자금용도외 유용 사후점검기준｣ 개정(안)을 마련 2. 주요내용 □ 기존 개조식 기준을 조문화(총 제4장 제9조로 구성) □ 정상적인 개인사업자대출은 원활히 지원하되 가계대출 규제 회피 수단으로 이용되지 않도록 용도외 유용 사후점검기준을 정비 ◦ (부동산임대업자 점검 강화) 부동산임대업자 중 개인사업자에 대해 시설자금 대출시에도 유용 여부를 점검하고, 대출금 사용내역표 징구시 임대 여부를 추가로 확인 ◦ (금액기준 강화) 차주가 개인사업자인 경우, 기존 건당 2억원이하 또는 동일인당 5억원 이하 대출 취급시 사후점검을 면제하는 기준을 건당 1억원 이하 및 동일인당 5억원 이하로 강화 ◦ (금액 외 생략대상 정비) 사후점검 필요성이 높은 사업장 임차‧수리자금을 점검대상으로 변경하고, 최초 취급 후 1년 이내의 타 금융기관 대환시에도 최초 자금용도를 확인토록 함 ◦ (점검 생략대상 관리) 사후점검 생략 대상을 전산에 의해 관리하고, 대출 담당자가 대출 취급시 생략대상의 적정성을 면밀히 검토 ◦ (서류점검 강화) 대출취급일로부터 3개월 이내 “대출금 사용내역표” 징구시 계약서, 영수증, 계산서 등 증빙자료 첨부 의무화 ◦ (현장방문 점검 합리화) 현장점검 기간을 기존 대출취급일로부터 6개월에서 3개월로 축소하고 점검을 강화*하되, 점검대상은 축소** * 현장방문 중 증빙자료 첨부, 점검내용 작성 등 ** ❶건당 외감법인 20억원, 비외감법인 10억원, 개인사업자 5억원을 초과하는 대출, ❷해당 운전자금 대출시 주택을 소유권 이전과 동시에 담보로 취득하는 경우, ❸사업자등록증 발급일자로부터 3개월 이내에 취급하는 대출(단, 합병‧분할‧개인사업자의 법인 전환, 포괄적 영업양수도 등 실질적인 개업이 아닌 경우 제외) ◦ (사후점검 모니터링) 사후점검 생략 대상, 점검 결과, 적발시 제재조치의 적정성 등을 모니터링할 수 있는 시스템을 갖추고 사후점검 실시조직이 아닌 별도의 조직에서 정기적으로 모니터링 ◦ (용도외 유용시 불이익 처분 개선) 점검대상이 아닌 차주에게도 용도외 유용시 불이익 처분 설명의무를 강화 3. 의견제출 □ 동 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2018년 7월 5일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 개정 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : kws0337@kfb.or.kr 붙임 : ｢자금용도외 유용 사후점검기준｣ 전면개정(안) 전문 1부.",,,여신제도부,https://www.kfb.or.kr/include/download.php?enc_para=zLa1q68Jc9ak3G/8uGnaGfQkp6akBndxHEdaXxE1DBmCp67NNl6YMiC2n/is6VbkmFt/92yfCuA=,(붙임1) 자금용도외 유용 사후점검기준 전면개정(안) 전문 1부.hwp
｢새희망홀씨 운용규약｣ 개정,은행연합회,"▣ 은행연합회 자율규제 신설·강화 공고 ｢새희망홀씨 운용규약｣을 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2018년 6월 12일 은행연합회 ｢새희망홀씨 운용규약｣ 개정 예고 1. 개정 이유 ㅇ 금융감독원이 새희망홀씨 취급 은행 등과 공동으로 발표(’18.3.23.)한 새희망홀씨 제도 개선 계획을 반영하기 위해 은행권 및 금융감독원과 협의를 거쳐 ｢새희망홀씨 운용규약｣ 개정(안)을 마련함 2. 주요내용 ㅇ 우대금리 적용 대상 확대 ― 우대금리 적용(최대 1%p 이내) 대상 취약 계층 범위에 청년층(29세 이하), 고령자(65세 이상), 장애인을 추가 ― 공신력 있는 금융교육기관(신용회복위원회, 한국금융연수원, 서민금융진흥원 등)에서 금융교육을 이수한 경우 우대 금리를 적용(취약계층에 적용되는 우대 금리와 합산하여 최대 1%p 이내) 3. 의견제출 □ 동 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2018년 7월 2일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 강화 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : jjw0303@kfb.or.kr 붙임 1. ｢새희망홀씨 운용규약｣ 개정(안) 신구조문대비표 1부. 2. ｢새희망홀씨 운용규약｣ 개정(안) 전문 1부. 끝.",,,여신제도부,https://www.kfb.or.kr/include/download.php?enc_para=zba1q68Jc9ak3G/8uGnaGVV6PU7Lr74QDjKaI32g0VEYvcw1/xNG2es*A6yb/Tg1nYlOHWha5M8=,「새희망홀씨 운용규약」개정(안) 신구조문대비표 및 전문 각 1부.zip
은행권 채용절차 모범규준 관련 자율규제 제정예고 실시,은행연합회,"▣ 은행연합회 자율규제 제정예고 ｢은행권 채용절차 모범규준｣을 제정함에 있어 그 제정이유와 주요내용을 전문가, 금융소비자 등에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2018년 6월 5일 은행연합회 ｢은행권 채용절차 모범규준｣ 제정예고 1. 제정 이유 ㅇ 은행권 채용절차의 공정성과 투명성을 제고하고 은행산업에 대한 신뢰도를 높이기 위하여 은행권 공동 TF*를 통해 ⌜은행권 채용절차 모범규준⌟(안)을 마련 * (구성) 산업, 농협, 신한, 우리, SC제일, KEB하나, 기업, 국민, 씨티, 부산은행 2. 주요내용 ㅇ (적용범위) 19개 연합회 사원은행 (신보·기보·주금공 및 외은지점 제외) ㅇ (적용대상) 정규 신입직원 공개 채용 ㅇ (채용방법) 임직원 추천제 폐지, 지원자의 역량과 무관한 요소*로 인한 차별 금지, 채용 절차 참여자 비밀·공정성 유지 * 성별, 연령, 출신학교, 출신지, 신체조건 등 ㅇ (블라인드 채용) 선발기준과 관련 없는 개인정보는 선발전형시 점수화하지 않으며, 면접전형시 면접관에게 비공개 ㅇ (필기전형) 직무 수행에 필요한 지원자의 역량을 검증하기 위해 필기시험 도입 가능 ㅇ (독립부서 점검) 채용과정에 감사부서 또는 내부통제부서가 참여하여 채용관리 원칙과 절차 준수 여부 등을 점검 ㅇ (외부전문가 참여) 선발과정에 외부 전문가(전문기관)를 참여시키거나 채용자문위원회 등을 운영 ㅇ (채용서류 보존) 법령*이 정하는 기준에 따라 관련 서류 보존 * 「남녀고용평등법」, 「채용절차의 공정화에 관한 법률」, 「개인정보 보호법」 - 필요한 경우, 동의서 징구를 통해 보존기간 연장 가능 ㅇ (부정합격자 처리) 부정입사자의 채용 취소 및 일정기간 응시자격 제한 - 관련 임직원도 내부 규정에 따라 징계 ㅇ (피해자 구제) 부정한 채용청탁 등 채용절차에서 발생한 부정행위로 인해 직접적 피해를 받은 지원자를 구제 - 일정기간동안 전형 단계별 예비합격자를 관리 - 피해자에게 피해 발생단계 다음 전형에 응시기회 부여 3. 의견제출 □ 동 규정 제정안에 대하여 의견이 있는 단체 또는 개인은 2018년 6월 11일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 규정 강화 사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : sangtack.sung@kfb.or.kr 붙임 : ｢은행권 채용절차 모범규준｣ 제정(안) 전문 1부. 끝.",,,기획조사부,https://www.kfb.or.kr/include/download.php?enc_para=wra1q68Jc9ak3G/8uGnaGdiG0ZgbVA1auFJTJsORupJEpW*rJ2mEoy1U0esOwQNZ1JebZamz3SM=,은행권 채용절차 모범규준 전문 1부.pdf
‘BankSign 은행공동인증업무준칙’ 제정 관련 의견 청취,은행연합회,"▣ 은행연합회 자율규제 신설·강화 공고 ㅇ ‘BankSign 은행공동인증업무준칙’을 제정함에 있어 그 제정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 ‘은행권 자율규제 운영규정’ 제5조에 따라 다음과 같이 공고합니다. 2018년 5월 17일 은행연합회 ‘BankSign 은행공동인증업무준칙’ 제정 예고 1. 제정 이유 □ 은행권은 4차 산업혁명의 핵심기술 중 하나인 블록체인 기술의 금융시스템 적용을 통해 블록체인 활성화에 기여하고, 인터넷 등 개방형 정보통신망 환경 하에서 처리되는 전자금융거래의 안전성과 편의성을 제고하기 위해 ‘은행권 블록체인 공동인증 시스템’을 구축하고, 이를 통해 블록체인 기반의 ‘BankSign 은행공동인증서비스’를 제공할 예정임 ㅇ 이에, 연합회는 은행권이 ‘BankSign 은행공동인증서비스’를 통해 제공하는 인증서의 발급, 이용 등에 관한 전반적인 사항과 인증업무 관련자의 의무와 책임 등을 규정한 ‘BankSign 은행공동인증업무준칙’ 제정(안)을 마련함 2. 주요 내용 ① 준칙의 목적, 용어의 정의, 관련자의 의무사항 등에 관한 사항 ② 인증서의 종류 및 수수료 등에 관한 사항 ③ 인증서 발급대상, 발급 및 폐기 등 인증업무에 관한 사항 ④ 인증업무 공고설비 및 공고방법 등에 관한 사항 ⑤ 인증업무 시설 및 장비 보호조치 등에 관한 사항 ⑥ 배상책임, 분쟁해결, 개인정보보호, 보안성심의 및 점검 등에 관한 사항 3. 의견 제출 □ 동 준칙 제정안에 대하여 의견이 있는 단체 또는 개인은 2018년 6월 5일까지 다음 사항을 기재한 의견서를 연합회 담당자에게 제출하여 주시기 바랍니다. 가. 준칙 제정 내용에 대한 의견(찬성 또는 반대 의견과 그 사유, 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 ㅇ 보내실 곳 : freestyle@kfb.or.kr",,,수신제도부,https://www.kfb.or.kr/include/download.php?enc_para=w7a1q68Jc9ak3G/8uGnaGWlpfH**XIBW7irU3rwqECQcjwVZowfAVUVIeQ9nKKngANgKCx*xIMI=,BankSign 은행공동인증업무준칙 제정(안).zip
「영업행위 윤리준칙」 제정 관련 의견청취,은행연합회,"▣ 은행연합회 자율규제 신설·강화 공고 ｢은행 영업행위 윤리준칙｣을 제정함에 있어 그 제정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 은행권 자율규제 운영규정 제5조에 따라 다음과 같이 공고합니다. 2018년 4월 30일 은행연합회 ｢은행 영업행위 윤리준칙｣ 제정 예고 1. 제정 이유 ㅇ 금융감독원은 ‘2018년도 업무계획’을 발표(’18.2.12)하며, 금융회사의 全 영업 프로세스가 소비자 중심으로 이뤄질 수 있도록 금융권역별 ｢영업행위 윤리준칙｣ 제정 유도를 추진키로 함 ― 이에 연합회는 은행 영업관행이 금융소비자 권익 제고에 부응하는 방향으로 변화할 수 있도록 ｢은행 영업행위 윤리준칙｣ 제정(안)을 마련 2. 주요내용 ① 영업행위 기본원칙 ― 신의성실의 원칙, 적합성 원칙, 상품 설명, 구속행위 금지, 약관․상품설명서 제공 등 영업행위의 기본원칙 규정 ② 상품 공시 및 광고 원칙 ― (공시) 간단․명료, 객관적 사실에 근거, 공시목적에 부합하지 않는 홍보성격 내용 최대한 배제 등 ― (광고) 은행 명칭, 은행상품 내용, 거래조건 등을 명확히 표시하고, 은행상품 광고 제작 시 지켜야 할 세부기준․절차 마련 등 ③ 민원(분쟁) 해결 원칙 ― 민원접수 채널(방문, 전화, 서신, FAX, E-mail, 인터넷 등) 다양화, 민원 처리 절차 및 시스템 마련, 민원 접수 및 처리결과 통지, 이해하기 쉬운 용어 사용 등 민원 처리 원칙 규정 3. 의견제출 □ 동 준칙 제정안에 대하여 의견이 있는 단체 또는 개인은 2018년 5월 10일까지 다음 사항을 기재한 의견서를 은행연합회 담당자에게 제출하여 주시기 바랍니다. 가. 자율규제 신설에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항) 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호 다. 보내실 곳 ◦ 이메일 : jhbae@kfb.or.kr 붙임   ｢은행 영업행위 윤리준칙｣ 제정(안) 전문 1부.  끝.",,,소비자보호부,https://www.kfb.or.kr/include/download.php?enc_para=wLa1q68Jc9ak3G/8uGnaGVmtPe6z2XgBENdfsPnnugRarZg5s6eoUWUDT4IHKkjiiwrQLKMfOsQ=,붙임1. 은행 영업행위윤리준칙 제정(안) 전문.hwp
